date,nav,daily_return,ma_5,ma_10,ma_20,ma_60,ma_ratio_5_20,ma_ratio_10_60,price_ma5_ratio,price_ma20_ratio,return_5d,return_10d,return_20d,volatility_5d,volatility_10d,volatility_20d,momentum_5d,momentum_10d,momentum_20d,rsi,bb_middle,bb_upper,bb_lower,bb_width,bb_position,macd,macd_signal,macd_histogram,highest_20d,lowest_20d,channel_position,price_percentile_20d,return_percentile_20d,price_deviation_20d,return_deviation_20d,price_change_rate,price_change_rate_5d,cumulative_return_5d,cumulative_return_10d,cumulative_return_20d,year,month,day,dayofweek,quarter,is_month_start,is_month_end,is_quarter_start,is_quarter_end,is_year_start,is_year_end,days_from_month_start,days_to_month_end,market_close,market_return,excess_return,relative_strength_5d,relative_strength_10d,relative_strength_20d,beta_20d,alpha_20d,future_return_10d,future_return_10d_binary,future_return_10d_category
2023-10-19,1.6703,-0.025495915985997764,1.70816,1.7229500000000002,1.743555,1.7701883333333333,0.9796995219537095,0.9733145154988219,0.9778357999250655,0.9579852657358099,-0.04033323757540941,-0.04766520326130341,-0.054725523486134686,0.01109084693632151,0.008749873957711757,0.0083886368846697,-0.04033323757540941,-0.04766520326130341,-0.054725523486134686,27.812678469446,1.743555,1.7970024055300622,1.6901075944699377,0.0613085397708271,-0.18529986884767305,-0.01723170816940378,-0.011079875574884063,-0.006151832594519718,1.7775,1.6703,0.0,0.05,0.05,-2.7411994753906894,-2.7083601234108343,-0.025495915985997764,-0.04033323757540941,-0.0403332375754093,-0.0476652032613033,-0.054725523486134575,2023,10,19,3,4,0,0,0,0,0,0,19,12,3533.545,-0.021335094086069928,-0.004160821899927836,1.0055207864054598,0.9973299204220017,0.9996082738269959,0.9587729547300321,-1.9345475416704395e-05,0.02724061545830092,1,2.0
2023-10-20,1.6653,-0.0029934742261868985,1.69648,1.7147400000000002,1.7382250000000004,1.768605,0.9759841217333772,0.9695437929893901,0.9816207677072527,0.9580462828460065,-0.03388060567384121,-0.04698409064896425,-0.060161408657373405,0.011263821906534457,0.008762999931989679,0.008286331582962724,-0.03388060567384121,-0.04698409064896425,-0.060161408657373405,12.749003984063677,1.7382250000000004,1.8003305086971082,1.6761194913028925,0.07145853810307393,-0.08710572966771585,-0.020551767174658453,-0.012974256217342854,-0.007577510957315599,1.7775,1.6653,0.0,0.05,0.6,-2.348422918670864,0.008606815515065095,-0.0029934742261868985,-0.03388060567384121,-0.03388060567384121,-0.04698409064896414,-0.060161408657373516,2023,10,20,4,4,0,0,0,0,0,0,20,11,3510.589,-0.00649659194944463,0.0035031177232577315,1.0081759643092352,1.001589305618261,0.9995174312590928,0.9440253428917869,-2.4899049728260846e-05,0.038191316879841564,1,2.0
2023-10-23,1.6548,-0.006305170239596425,1.68498,1.7062000000000002,1.73298,1.7667416666666669,0.972302046186338,0.9657325868241442,0.9820888081757648,0.9548869577259981,-0.033580564153477765,-0.049074818986323376,-0.05961243393760296,0.011266068685146378,0.008772349911212842,0.008273259869713239,-0.033580564153477765,-0.049074818986323376,-0.05961243393760296,12.774451097804345,1.73298,1.8044599228344667,1.6615000771655333,0.0824936500530493,-0.04686684666021026,-0.023749176321788523,-0.015129242351836237,-0.008619933969952287,1.7775,1.6548,0.0,0.05,0.25,-2.1874673866408445,-0.3951745558530161,-0.006305170239596425,-0.033580564153477765,-0.033580564153477765,-0.049074818986323265,-0.05961243393760296,2023,10,23,0,4,0,0,0,0,0,0,23,8,3474.244,-0.010352963562524686,0.0040477933229282614,1.0087989867098253,1.0085358683676164,1.0038695543831115,0.9240738701925073,0.00019055058227100962,0.044960116026105945,1,2.0
2023-10-24,1.6627,0.00477399081460006,1.6734200000000001,1.6995200000000001,1.72756,1.7651416666666668,0.9686610016439372,0.9628235694018894,0.9935939572850808,0.9624557178911297,-0.033594885207788305,-0.038623879734027144,-0.06120490090903952,0.011262255234763523,0.009276765895200021,0.008178334053733213,-0.033594885207788305,-0.038623879734027144,-0.06120490090903952,18.372881355932165,1.72756,1.8031881317750857,1.6519318682249142,0.08755485398491024,0.07119131150237668,-0.02535744242433724,-0.017174883971424006,-0.008182558452913234,1.7775,1.6548,0.06438467807660975,0.1,0.85,-1.7152347539904915,0.965355354394705,0.00477399081460006,-0.033594885207788305,-0.033594885207788305,-0.038623879734027255,-0.061204900909039406,2023,10,24,1,4,0,0,0,0,0,0,24,7,3487.13,0.0037090083482909098,0.00106498246630915,1.0086049867899978,1.0082427684668527,1.0035636232740002,0.9200813125146298,0.00017514020407981555,0.035544596138810336,1,2.0
2023-10-25,1.6754,0.007638178865700285,1.6657,1.6939499999999998,1.7227900000000003,1.7628566666666667,0.9668618926276561,0.9609119289335301,1.0058233775589842,0.9724922944758211,-0.02252042007001165,-0.03217607301715675,-0.05387395527445216,0.013035492635599324,0.009886916372920726,0.008506399861890666,-0.02252042007001165,-0.03217607301715675,-0.05387395527445216,25.17394054395946,1.7227900000000003,1.7989671868046728,1.6466128131953277,0.08843467492227439,0.1889488704701454,-0.02532180373199311,-0.01880426894631935,-0.006517534785673757,1.7775,1.6548,0.16788916055419678,0.25,0.95,-1.2442045181194177,1.2189420356562088,0.007638178865700285,-0.02252042007001165,-0.02252042007001165,-0.032176073017156415,-0.05387395527445238,2023,10,25,2,4,0,0,0,0,0,0,25,6,3504.458,0.004969129341320766,0.0026690495243795187,1.007078780588861,1.0128643880902766,1.0044531398731245,0.9363946230845097,0.00022036726547916552,0.02572519995225009,1,2.0
2023-10-26,1.6836,0.004894353587203026,1.6683600000000003,1.68826,1.7186700000000001,1.7607383333333333,0.9707273647646146,0.9588363972310859,1.0091347191253683,0.9795946865890485,0.007962641441657148,-0.03269175524274626,-0.046659116647791654,0.005936714091806458,0.009836154970663152,0.00867563468094882,0.007962641441657148,-0.03269175524274626,-0.046659116647791654,30.03754693366703,1.7186700000000001,1.7939146424041383,1.643425357595862,0.0875614776590482,0.2669601523810855,-0.024354981745261073,-0.019914412063586198,-0.004440569681674875,1.7775,1.6548,0.2347188264058674,0.3,0.85,-0.9321593904756575,0.8350666791970511,0.004894353587203026,0.007962641441657148,0.007962641441657148,-0.03269175524274626,-0.04665911664779143,2023,10,26,3,4,0,0,0,0,0,0,26,5,3514.145,0.0027641934929738543,0.002130160094229172,1.0135271458215187,1.0191226127097346,1.005304498826726,0.9457229560175152,0.00026334807392422996,0.021560940841054865,1,2.0
2023-10-27,1.6976,0.008315514373960609,1.67482,1.68565,1.71615,1.7587849999999998,0.9759170235702007,0.9584173164997428,1.01360146164961,0.9891909215394924,0.019395904641806183,-0.015141846028891348,-0.028832951945080065,0.00590258713464813,0.010176821750214253,0.008781561963840782,0.019395904641806183,-0.015141846028891348,-0.028832951945080065,37.21488595438173,1.71615,1.7906307004320074,1.6416692995679927,0.08679975576960916,0.3754710959187732,-0.022209402860728256,-0.020373410407410086,-0.0018359924533181693,1.7775,1.6548,0.34881825590871995,0.35,0.95,-0.4981156163249065,1.1091981445952674,0.008315514373960609,0.019395904641806183,0.019395904641806183,-0.015141846028891348,-0.028832951945079843,2023,10,27,4,4,0,0,0,0,0,0,27,4,3562.385,0.013727378921473132,-0.005411864547512524,1.0045741966352806,1.0127875594129492,1.0011712854714048,0.8934701640342523,5.381418706075225e-05,0.007186616399623036,1,2.0
2023-10-30,1.6961,-0.0008836003770028578,1.68308,1.68403,1.7120800000000003,1.7561266666666666,0.983061539180412,0.9589456341418044,1.0077358176676094,0.990666324003551,0.024957698815566864,-0.009460958944110254,-0.04579465541490868,0.0036269110476799885,0.010015535915194242,0.007659811039074415,0.024957698815566864,-0.009460958944110254,-0.04579465541490868,39.39008894536209,1.7120800000000003,1.7811442904149946,1.643015709585006,0.080678812222553,0.3843106915022255,-0.020394217638540324,-0.02037757185497357,-1.664578356675231e-05,1.7667,1.6548,0.3690795352993739,0.35,0.65,-0.4627572339910982,0.18660760792050138,-0.0008836003770028578,0.024957698815566864,0.024957698815566864,-0.009460958944110143,-0.04579465541490868,2023,10,30,0,4,0,0,0,0,0,0,30,1,3583.772,0.006003562220254111,-0.006887162597256968,0.9936327242257016,1.002375685360611,0.995518088663444,0.8435627708817591,-0.00022913746466136087,0.002771063026944187,1,2.0
2023-10-31,1.7028,0.003950238783090754,1.6910999999999998,1.68226,1.708885,1.7535683333333334,0.9895926291119648,0.9593352982157335,1.0069185737094202,0.9964391986587746,0.024117399410597207,-0.01028770706190052,-0.036169128884360635,0.0036553712135699774,0.009965954137086572,0.007728359035904153,0.024117399410597207,-0.01028770706190052,-0.036169128884360635,41.29230769230769,1.708885,1.7730484844506007,1.6447215155493993,0.0750939758387495,0.45258206398777545,-0.01820773913750351,-0.019943605199902355,0.0017358660623988456,1.756,1.6548,0.47430830039525756,0.45,0.7,-0.1896717440488983,0.7455539708935471,0.003950238783090754,0.024117399410597207,0.02411739941059743,-0.010287707061900409,-0.036169128884360524,2023,10,31,1,4,0,1,0,0,0,0,31,0,3572.506,-0.0031436151630181985,0.007093853946108952,0.999642969670779,1.0082448842195102,1.002167668625228,0.8367001853373782,0.00010400587076647149,-0.0018792576932112892,0,1.0
2023-11-01,1.7176,0.008691566831101616,1.69954,1.68262,1.7069649999999998,1.7514166666666666,0.9956501744323991,0.9607194176143122,1.010626404791885,1.0062303562170285,0.025188014802435266,0.002100350058343192,-0.0218678815489749,0.003884263461121943,0.010350807415465707,0.008000813665788468,0.025188014802435266,0.002100350058343192,-0.0218678815489749,43.18046456223944,1.7069649999999998,1.7673809712240707,1.646549028775929,0.07078759227526146,0.5880148062219928,-0.01511193764244112,-0.018977271489646792,0.0038653338472056722,1.7539,1.6548,0.6337033299697274,0.6,1.0,0.3520592248879716,1.2206051043175787,0.008691566831101616,0.025188014802435266,0.025188014802435266,0.002100350058343192,-0.0218678815489749,2023,11,1,2,4,1,0,0,0,0,0,1,29,3571.027,-0.00041399510595641065,0.009105561937058027,1.0060770584984413,1.0131988572510382,1.0115121653527013,0.8424125259091823,0.000569870023675334,-0.0037261294829995517,0,1.0
